Country_Name,ISO3,region,subregion,Ladder Score,Log GDP per capita,Social Support,Healthy Life Expectancy,Personal Freedom,Generosity,Perceptions of Corruption,Dystopia,Tech,Health,Education,Violence,Inequality,Tech_Level,Health_Level,Education_Level,Violence_Level,Inequality_Level
Albania,ALB,Europe,Southern Europe,5.304,1.438,0.924,0.638,0.69,0.138,0.049,1.428,84.7,45.0,8.953018,326.0,0.4672302,3,3,3,1,2
Algeria,DZA,Africa,North Africa,5.364,1.324,1.191,0.568,0.247,0.091,0.2,1.743,80.9,26.2,7.0915527,19336.0,0.48798555,2,1,2,4,2
Argentina,ARG,Americas,South America,6.188,1.562,1.381,0.585,0.681,0.087,0.08,1.812,83.4,54.4,8.41131,206262.0,0.56124043,3,4,3,5,3
Armenia,ARM,Asia,Eastern Europe,5.455,1.444,1.154,0.603,0.65,0.051,0.173,1.379,86.4,61.8,7.994621,357.0,0.58842224,3,5,2,1,3
Australia,AUS,Oceania,Oceania,7.057,1.854,1.461,0.692,0.756,0.225,0.323,1.745,95.1,71.1,11.222505,108288.0,0.48174992,5,5,5,5,2
Austria,AUT,Europe,Western Europe,6.905,1.885,1.336,0.696,0.703,0.214,0.305,1.766,94.3,56.9,10.906205,9301.0,0.438074,5,4,4,3,1
Azerbaijan,AZE,Asia,Middle East,4.893,1.433,0.876,0.496,0.668,0.112,0.199,1.11,80.4,34.7,8.281513,415.0,0.5556126,2,2,2,1,3
Bangladesh,BGD,Asia,South Asia,3.886,1.122,0.249,0.513,0.775,0.14,0.167,0.919,62.0,35.5,5.989421,1689.0,0.47316957,1,2,1,2,2
Belgium,BEL,Europe,Western Europe,6.894,1.868,1.44,0.69,0.729,0.17,0.311,1.686,89.3,59.3,11.183289,69031.0,0.40930387,4,4,5,5,1
Benin,BEN,Africa,West Africa,4.377,0.914,0.128,0.284,0.567,0.112,0.252,2.121,45.4,25.4,5.6664166,5865.0,0.5783459,1,1,1,3,3
Bosnia and Herzegovina,BIH,Europe,Southern Europe,5.877,1.465,1.318,0.587,0.621,0.246,0.0,1.64,78.6,35.4,7.801883,665.0,0.47928673,2,2,2,1,2
Botswana,BWA,Africa,Southern Africa,3.383,1.445,0.969,0.241,0.567,0.014,0.082,0.066,78.7,33.6,5.0830455,19599.0,0.70033824,2,1,1,4,5
Brazil,BRA,Americas,South America,6.272,1.43,1.269,0.548,0.685,0.13,0.142,2.068,82.0,51.2,7.8728395,522783.0,0.6803458,2,3,2,5,5
Bulgaria,BGR,Europe,Eastern Europe,5.463,1.629,1.469,0.567,0.62,0.083,0.006,1.088,88.7,59.9,8.687309,3781.0,0.54751986,4,5,3,2,3
Cameroon,CMR,Africa,Central Africa,4.874,0.943,0.856,0.288,0.521,0.126,0.06,2.08,44.2,28.6,5.2868743,6072.0,0.63769996,1,1,1,3,4
Canada,CAN,Americas,North America,6.9,1.84,1.459,0.701,0.73,0.23,0.368,1.572,88.6,69.8,11.724046,124572.0,0.49672955,4,5,5,5,2
Chile,CHL,Americas,South America,6.36,1.616,1.369,0.673,0.651,0.117,0.075,1.858,91.7,56.2,9.40743,41037.0,0.7139481,4,4,4,5,5
